"service_id","date","exception_type"
"B46A806C","20220406","1"
"B46A806C","20220407","1"
"B46A806C","20220411","1"
"B46A806C","20220413","1"
"B46A806C","20220414","1"
"B46A806C","20220418","1"
"B46A806C","20220420","1"
"B46A806C","20220425","1"
"B46A806C","20220426","1"
"B46A806C","20220427","1"
"B46A806C","20220502","1"
"B46A806C","20220503","1"
"B46A806C","20220504","1"
"B46A806C","20220505","1"
"B46A806C","20220506","1"
"B46A806C","20220509","1"
"B46A806C","20220510","1"
"B46A806C","20220512","1"
"B46A806C","20220516","1"
"B46A806C","20220517","1"
"B46A806C","20220518","1"
"B46A806C","20220519","1"
"F70182BB","20220324","1"
"F70182BB","20220331","1"
"F70182BB","20220412","1"
"F70182BB","20220415","1"
"F70182BB","20220419","1"
"F70182BB","20220421","1"
"F70182BB","20220428","1"
"F70182BB","20220511","1"
"E8555BE4","20220322","1"
"E8555BE4","20220324","1"
"E8555BE4","20220331","1"
"E8555BE4","20220412","1"
"E8555BE4","20220415","1"
"E8555BE4","20220419","1"
"E8555BE4","20220421","1"
"E8555BE4","20220428","1"
"E8555BE4","20220511","1"
"EF670C77","20220326","1"
"EF670C77","20220327","1"
"EF670C77","20220402","1"
"EF670C77","20220403","1"
"EF670C77","20220409","1"
"EF670C77","20220410","1"
"EF670C77","20220416","1"
"EF670C77","20220417","1"
"EF670C77","20220423","1"
"EF670C77","20220424","1"
"EF670C77","20220430","1"
"EF670C77","20220501","1"
"EF670C77","20220507","1"
"EF670C77","20220508","1"
"EF670C77","20220514","1"
"EF670C77","20220515","1"
"EF670C77","20220521","1"
"EF670C77","20220522","1"
